stop_id,stop_name,latitude,longitude
1,COLUMBUS ST & BROADWAY,41.392864,-81.536557
2,10800 BROOKPARK RD (HOME DEPOT),41.418556,-81.760788
4,EUCLID AV & E 101ST ST,41.503712,-81.617399
5,10081 W RIDGEWOOD DR,41.384525,-81.755926
14,102 PROSPECT AV W,41.49803,-81.692012
19,1028 PROSPECT AV E,41.499173,-81.684386
20,1027 SUPERIOR AV E,41.502891,-81.687717
24,10406 KINSMAN RD,41.469942,-81.612328
25,10427 DETROIT AV,41.480662,-81.75741
26,10428 DETROIT AV,41.480827,-81.757532
28,10600 QUINCY AV,41.493415,-81.613989
31,10603 DETROIT AV,41.481748,-81.761694
32,10603 DETROIT AV,41.481869,-81.761641
37,10611 QUINCY AV,41.493498,-81.6137
39,ST. CLAIR AV & E 106TH ST,41.53979,-81.612945
41,10708 KINSMAN RD,41.469361,-81.609566
43,MILES AV & E ELMARGE RD,41.445139,-81.609919
47,10705 LORAIN AV,41.464507,-81.76077
65,BUCKEYE RD & MARTIN LUTHER KING DR,41.481774,-81.609536
70,11100 ST. CLAIR AV,41.540586,-81.607557
72,11121 W PLEASANT VALLEY RD,41.363918,-81.764214
78,11201 W PLEASANT VALLEY RD,41.363823,-81.763924
83,11216 STOKES BLVD,41.493478,-81.602883
84,PEARL RD & IDLEWOOD TRAIL,41.330401,-81.836673
97,11479 PEARL RD,41.328525,-81.836823
99,W PLEASANT VALLEY RD & BICENTENNIAL DR,41.36393,-81.76906
105,DETROIT AV & HIRD AV,41.483796,-81.77008
107,1175 E 152ND ST,41.546397,-81.575313
109,BROOKPARK RD & CHEVROLET BLVD,41.418513,-81.769634
110,11801 LAKESHORE BLVD,41.555459,-81.602253
111,11801 LAKESHORE BLVD,41.555531,-81.602347
113,11820 EDGEWATER DR,41.490405,-81.770444
114,11843 EDGEWATER DR,41.490328,-81.770474
115,CLIFTON BLVD & FRY AV,41.488555,-81.772593
117,LEEILA AV & WANDA AV,41.441199,-81.770279
118,LEEILA AV & WANDA AV,41.441117,-81.77028
119,11925 PEARL RD,41.326585,-81.836944
123,12000 FAIRHILL RD,41.493096,-81.598899
124,12000 FAIRHILL RD,41.492879,-81.598898
126,12001 WANDA AV,41.439908,-81.772325
138,1240 WARREN RD,41.488856,-81.799418
140,12402 BUCKEYE RD,41.480289,-81.596706
142,1245 WARREN RD,41.4888,-81.799309
145,12501 WANDA AV,41.440042,-81.775709
146,12506 EDGEWATER DR,41.491668,-81.774022
147,W PLEASANT VALLEY RD & PARMA PARK BLVD,41.363968,-81.776535
148,12509 W PLEASANT VALLEY RD,41.36387,-81.776536
149,12509 ST. CLAIR AV,41.541382,-81.597591
150,12518 LAKESHORE BLVD,41.561821,-81.595157
151,12521 LAKESHORE BLVD,41.56189,-81.595258
152,12543 LAKE AV,41.490719,-81.776369
153,12547 LAKE AV,41.490626,-81.776414
165,LAKE AV & GOLD COAST LN,41.491679,-81.780134
167,EUCLID AV & HURON RD E,41.50071,-81.683173
168,12720 LAKESHORE BLVD,41.562667,-81.593848
178,12800 PEARL RD,41.316745,-81.83554
181,W PLEASANT VALLEY RD & BERESFORD AV,41.363874,-81.77944
182,PLEASANT VALLEY RD & OLD PLEASANT VALLEY RD,41.363966,-81.779679
189,ST. CLAIR AV & E 129TH ST,41.543342,-81.593805
190,12910 LAKESHORE BLVD,41.563533,-81.592619
192,LAKE AV & GOLD COAST LN,41.49156,-81.780111
197,12977 PEARL RD,41.319823,-81.835764
199,GOLD COAST LN LOOP,41.49207,-81.780055
201,CORLETT AV & CORLETT LOOP,41.455555,-81.592503
202,PEARL RD & ZVERINA LN,41.317469,-81.835329
203,13003 LAKESHORE BLVD,41.564058,-81.592111
207,1311 CHARDON RD,41.575399,-81.538165
211,13207 MILES AV,41.445414,-81.590444
212,13211 LAKESHORE BLVD,41.564964,-81.590746
213,13211 LAKESHORE BLVD,41.565069,-81.590792
216,1329 WARREN RD,41.48688,-81.799388
217,13300 BROOKPARK RD,41.418532,-81.784547
218,1331 CHARDON RD,41.57489,-81.537332
222,13405 LAKESHORE BLVD,41.565979,-81.589625
223,13415 KINSMAN RD,41.465185,-81.589572
228,13478 LAKESHORE BLVD,41.566497,-81.588784
233,13516 ST. CLAIR AV,41.545419,-81.590115
242,SLOANE AV & EDANOLA AV,41.482698,-81.829525
246,SLOANE AV & DETROIT RD,41.482648,-81.829409
247,CLIFTON BLVD & BUNTS RD,41.491414,-81.789885
254,BARTLETT AV & E 140TH ST,41.457621,-81.584441
257,14100 LAKESHORE BLVD,41.56994,-81.584047
261,14200 SUPERIOR RD,41.515068,-81.573549
264,14300 TURNEY RD,41.394457,-81.583581
269,14228 PEARL RD,41.310959,-81.835416
272,14201 PURITAS AV,41.433494,-81.793316
274,14401 TURNEY RD,41.393912,-81.581321
275,14600 TURNEY RD (ST. MARTIN'S CHURCH),41.393838,-81.581435
287,1470 WARREN RD,41.482877,-81.799628
291,14701 TURNEY RD,41.39354,-81.578801
292,14730 TURNEY RD,41.393445,-81.578849
293,1476 WARRENSVILLE CTR RD,41.519946,-81.536592
301,1491 CHARDON RD,41.57133,-81.535078
302,BARTLETT AV & E 149TH ST,41.457643,-81.576746
303,14993 PEARL RD,41.306458,-81.835036
307,15018 LAKESHORE BLVD,41.573389,-81.577325
308,EUCLID AV & E 14TH ST,41.500952,-81.681294
309,1518 WARRENSVILLE CTR RD,41.518028,-81.53658
